Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
modArmorAdvancedMuffledConnectorsDesc,item_modifiers,mod,,,,Greatly reduced noise from armor.\n\nCannot be installed into Light or Assassin Armor.,,,Reduce notablemente el ruido de la armadura.\n\nNo se puede instalar en una armadura ligera o de asesino.,,,,,,,,,,
modArmorAdvancedMuffledConnectorsSchematic,item_modifiers,mod,,,,Adv. Muffled Connectors Mod Schematic,,,Esquema de modificación de conectores de amortiguación avanzada,,,,,,,,,,
modArmorAgility,item_modifiers,mod,,,,Agility Mod,,,Modificación de agilidad,,,,,,,,,,
modArmorAgilityDesc,item_modifiers,mod,,,,"This AI-driven neural interface, when embedded in headgear, greatly accelerates nerve signal transmission.\n\n+1 Agility",,,"Esta interfaz neural de IA, cuando se integra en gorros, acelera enormemente la transmisión de señales nerviosas.\n\n+1 de agilidad",,,,,,,,,,
modArmorBallCap,item_modifiers,mod,,,,Ball Cap Mod,,,Modificación de gorra de béisbol,,,,,,,,,,
modArmorBallCapDesc,item_modifiers,mod,,,,"This ball cap modification makes any helmet look like a ball cap, and offers insulation against the elements.",,,Esta modificación de gorra de béisbol hace que cualquier casco parezca una gorra de béisbol y ofrece aislamiento contra los elementos.,,,,,,,,,,
modArmorBandolier,item_modifiers,mod,,,,Bandolier Mod,,,Modificación de bandolera,,,,,,,,,,
modArmorBandolierDesc,item_modifiers,mod,,,,Reload faster.,,,Recarga más rápido.,,,,,,,,,,
modArmorBandolierSchematic,item_modifiers,mod,,,,Bandolier Mod Schematic,,,Esquema de modificación bandolera,,,,,,,,,,
modArmorCigar,item_modifiers,mod,,,,Cigar Mod,,,Modificación de puro,,,,,,,,,,
modArmorCigarDesc,item_modifiers,mod,,,,Look intimidating and get a better deal from traders. Also boosts strength!,,,Intimida y te ayuda a obtener mejores ofertas de los vendedores. ¡También aumenta la fuerza!,,,,,,,,,,
modArmorCoolingMesh,item_modifiers,mod,,,,Cooling Mesh Mod,,,Modificación de malla fresca,,,,,,,,,,
modArmorCoolingMeshDesc,item_modifiers,mod,,,,This armor modification adds insulation against harsh hot weather.,,,Esta modificación de armadura agrega aislamiento contra el duro clima caluroso.,,,,,,,,,,
modArmorCoolingMeshSchematic,item_modifiers,mod,,,,Cooling Mesh Mod Schematic,,,Esquema de modificación de malla fresca,,,,,,,,,,
modArmorCowboyHat,item_modifiers,mod,,,,Cowboy Hat Mod,,,Modificación de sombrero de vaquero,,,,,,,,,,
modArmorCowboyHatDesc,item_modifiers,mod,,,,"This cowboy hat modification makes any helmet look like a cowboy hat, and offers insulation against the elements.",,,Esta modificación de sombrero de vaquero hace que cualquier casco parezca un sombrero de vaquero y ofrece aislamiento contra los elementos.,,,,,,,,,,
modArmorCustomizedFittings,item_modifiers,mod,,,,Advanced Armor Fittings Mod,,,Modificación de ajuste de armadura avanzada,,,,,,,,,,
modArmorCustomizedFittingsDesc,item_modifiers,mod,,,,Greatly decreases movement and stamina penalties from armor.\n\nCannot be installed into Light Armor.,,,Reduce notablemente las penalizaciones de movimiento y resistencia de la armadura.\n\nNo se puede instalar en una armadura ligera.,,,,,,,,,,
modArmorCustomizedFittingsSchematic,item_modifiers,mod,,,,Advanced Armor Fittings Mod Schematic,,,Esquema de modificación de ajuste de armadura avanzada,,,,,,,,,,
modArmorDoubleStoragePocket,item_modifiers,mod,,,,Armor Double Pocket Mod,,,Modificación de bolsillo doble para armadura,,,,,,,,,,
modArmorDoubleStoragePocketDesc,item_modifiers,mod,,,,Decrease encumbrance penalty by 2 by installing this modification into your armor.,,,Reduce la penalización de sobrecarga en 2 al instalar esta modificación en la armadura.,,,,,,,,,,
modArmorDoubleStoragePocketSchematic,item_modifiers,mod,,,,Armor Double Pocket Mod Schematic,,,Esquema de modificación de bolsillo doble para armadura,,,,,,,,,,
modArmorFortitude,item_modifiers,mod,,,,Fortitude Mod,,,Modificación de fortaleza,,,,,,,,,,
modArmorFortitudeDesc,item_modifiers,mod,,,,This AI-enhanced neural interface boosts the immune system when integrated into headgear.\n\n+1 Fortitude,,,Esta interfaz neural de IA potencia el sistema inmunitario cuando se integra en gorros.\n\n+1 de fortaleza,,,,,,,,,,
modArmorHelmetLight,item_modifiers,mod,,,,Helmet Light Mod,,,Modificación de luz para casco,,,,,,,,,,
modArmorHelmetLightDesc,item_modifiers,mod,,,,A light source that can be installed into any head armor.\n\nUse the Light Source ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) action to activate.,,,Una fuente de luz que se puede instalar en cualquier casco de armadura.\n\nUsa la acción de fuente de luz ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) para activarla.,,,,,,,,,,
modArmorHelmetLightSchematic,item_modifiers,mod,,,,Helmet Light Mod Schematic,,,Esquema de modificación de luz para casco,,,,,,,,,,
modArmorImpactBracing,item_modifiers,mod,,,,Impact Bracing Mod,,,Modificación de reducción de impacto,,,,,,,,,,
modArmorImpactBracingDesc,item_modifiers,mod,,,,Reduces fall damage.,,,Reduce el daño de caída.,,,,,,,,,,
modArmorImpactBracingSchematic,item_modifiers,mod,,,,Impact Bracing Mod Schematic,,,Esquema de modificación de reducción de impacto,,,,,,,,,,
modArmorImprovedFittings,item_modifiers,mod,,,,Armor Fittings Mod,,,Modificación de ajuste de armadura,,,,,,,,,,
modArmorImprovedFittingsDesc,item_modifiers,mod,,,,Decreases movement and stamina penalties from armor.\n\nCannot be installed into Light Armor.,,,Reduce las penalizaciones de movimiento y resistencia de la armadura.\n\nNo se puede instalar en una armadura ligera.,,,,,,,,,,
modArmorImprovedFittingsSchematic,item_modifiers,mod,,,,Armor Fittings Mod Schematic,,,Esquema de modificación de ajuste de armadura,,,,,,,,,,
modArmorInsulatedLiner,item_modifiers,mod,,,,Insulated Liner Mod,,,Modificación de revestimiento con aislamiento,,,,,,,,,,
modArmorInsulatedLinerDesc,item_modifiers,mod,,,,This armor mod gives you insulation from the cold.,,,Esta modificación de armadura te proporciona aislamiento contra el frío.,,,,,,,,,,
modArmorInsulatedLinerSchematic,item_modifiers,Mod,,,,Insulated Liner Mod Schematic,,,Esquema de modificación de revestimiento con aislamiento,,,,,,,,,,
modArmorInsulatedLinerT1,item_modifiers,mod,,,,Tattered Insulated Armor Mod,,,Modificación de armadura aislante harapienta,,,,,,,,,,
modArmorInsulatedLinerT1Desc,item_modifiers,mod,,,,Increases Hot and Cold Resist,,,Incrementa la resistencia la frío y al calor,,,,,,,,,,
modArmorInsulatedLinerT2,item_modifiers,mod,,,,Patchwork Insulated Armor Mod,,,Modificación de armadura aislante emparchada,,,,,,,,,,
modArmorInsulatedLinerT2Desc,item_modifiers,mod,,,,Increases Hot and Cold Resist,,,Incrementa la resistencia la frío y al calor,,,,,,,,,,
modArmorInsulatedLinerT3,item_modifiers,mod,,,,ThermaCore Insulated Armor Mod,,,Modificación de armadura aislante ThermaCore,,,,,,,,,,
modArmorInsulatedLinerT3Desc,item_modifiers,mod,,,,Increases Hot and Cold Resist,,,Incrementa la resistencia la frío y al calor,,,,,,,,,,
modArmorIntellect,item_modifiers,mod,,,,Intellect Mod,,,Modificación de intelecto,,,,,,,,,,
modArmorIntellectDesc,item_modifiers,mod,,,,This handy AI headgear companion gives you archived information from before the apocalypse to stimulate intelligence.\n\n+1 Intellect,,,Este práctico compañero para la cabeza con IA te ofrece información archivada de antes del apocalipsis para estimular la inteligencia.\n\n+1 de intelecto,,,,,,,,,,
modArmorJumpJets,item_modifiers,mod,,,,Jump Jets Mod,,,Modificación de propulsores de salto.,,,,,,,,,,
modArmorJumpJetsDesc,item_modifiers,mod,,,,These look safe...ish but cumbersome to run with while they are activated.,,,"Parecen... bastante seguros, pero es algo incómodo correr con ellos cuando están activados.",,,,,,,,,,
modArmorMuffledConnectors,item_modifiers,mod,,,,Muffled Connectors Mod,,,Modificación de conectores de amortiguación,,,,,,,,,,
modArmorMuffledConnectorsDesc,item_modifiers,mod,,,,Reduces noise from armor.\n\nCannot be installed into Light or Assassin Armor.,,,Reduce el ruido de la armadura.\n\nNo se puede instalar en una armadura ligera o de asesino.,,,,,,,,,,
modArmorMuffledConnectorsSchematic,item_modifiers,mod,,,,Muffled Connectors Mod Schematic,,,Esquema de modificación de conectores de amortiguación,,,,,,,,,,
modArmorNightVision,item_modifiers,mod,,,,Night Vision Mod,,,Modificación de gafas de visión nocturna,,,,,,,,,,
modArmorNightVisionDesc,item_modifiers,mod,,,,See in the dark with this high tech night vision head armor mod.\n\nUse the Light Source action ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) to activate.,,,Ve en la oscuridad con esta modificación de armadura de cabeza de visión nocturna de alta tecnología.\n\nUsa la acción de fuente de luz ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) para activarla.,,,,,,,,,,
modArmorPerception,item_modifiers,mod,,,,Perception Mod,,,Modificación de percepción,,,,,,,,,,
modArmorPerceptionDesc,item_modifiers,mod,,,,"When installed in headgear, these AI enabled contact lenses enhance sight and targeting.\n\n+1 Perception",,,"Cuando se instala en gorros, estas lentes de contacto con IA mejora la visión y la puntería.\n\n+1 de percepción",,,,,,,,,,
modArmorPlatingBasic,item_modifiers,mod,,,,Armor Plating Mod,,,Modificación de placas de armadura,,,,,,,,,,
modArmorPlatingBasicDesc,item_modifiers,mod,,,,Improve your armor rating with these additional armor plates.\n\nCannot be installed into Heavy Armor.,,,Mejora la tasa de la armadura con estas placas adicionales.\n\nNo se puede instalar en armaduras pesadas.,,,,,,,,,,
modArmorPlatingBasicSchematic,item_modifiers,mod,,,,Armor Plating Mod Schematic,,,Esquema de modificación de placas de armadura,,,,,,,,,,
modArmorPlatingReinforced,item_modifiers,mod,,,,Advanced Armor Plating Mod,,,Modificación de placas de armadura avanzada,,,,,,,,,,
modArmorPlatingReinforcedSchematic,item_modifiers,mod,,,,Advanced Armor Plating Mod Schematic,,,Esquema de modificación de placas de armadura avanzada,,,,,,,,,,
modArmorPressboyCap,item_modifiers,mod,,,,Press Boy Cap Mod,,,Modificación de gorra de chico de la prensa,,,,,,,,,,
modArmorPressboyCapDesc,item_modifiers,mod,,,,"This press boy cap modification makes any helmet look like a press boy cap, and offers insulation against the elements.",,,Esta modificación de gorra de chico de la prensa hace que cualquier casco parezca una gorra de chico de la prensa y ofrece aislamiento contra los elementos.,,,,,,,,,,
modArmorQuadStoragePocket,item_modifiers,mod,,,,Armor Quad Pocket Mod,,,Modificación de bolsillo cuádruple para armadura,,,,,,,,,,
modArmorQuadStoragePocketDesc,item_modifiers,mod,,,,Decrease encumbrance penalty by 4 by installing this modification into your armor.,,,Reduce la penalización de sobrecarga en 4 al instalar esta modificación en la armadura.,,,,,,,,,,
modArmorQuadStoragePocketSchematic,item_modifiers,mod,,,,Armor Quad Pocket Mod Schematic,,,Esquema de modificación de bolsillo cuádruple para armadura,,,,,,,,,,
modArmorSkullCap,item_modifiers,mod,,,,Skull Cap Mod,,,Modificación de casquete,,,,,,,,,,
modArmorSkullCapDesc,item_modifiers,mod,,,,"This skull cap modification makes any helmet look like a skull cap, and offers insulation against the elements.",,,Esta modificación de casquete hace que cualquier casco parezca un casquete y ofrece aislamiento contra los elementos.,,,,,,,,,,
modArmorStealthBoots,item_modifiers,mod,,,,Stealth Boots Mod,,,Modificación de botas de sigilo,,,,,,,,,,
modArmorStealthBootsDesc,item_modifiers,mod,,,,Reduces the noise and stamina penalties of medium and heavy boots.,,,Reduce el ruido y las penalizaciones de resistencia de botas medianas y pesadas.,,,,,,,,,,
modArmorStoragePocket,item_modifiers,mod,,,,Armor Pocket Mod,,,Modificación de bolsillo para armadura,,,,,,,,,,
modArmorStoragePocketDesc,item_modifiers,mod,,,,Decrease encumbrance penalty by 1 by installing this modification into your armor.,,,Reduce la penalización de sobrecarga en 1 al instalar esta modificación en la armadura.,,,,,,,,,,
modArmorStoragePocketSchematic,item_modifiers,mod,,,,Armor Pocket Mod Schematic,,,Esquema de modificación de bolsillo para armadura,,,,,,,,,,
modArmorStrength,item_modifiers,mod,,,,Strength Mod,,,Modificación de fuerza,,,,,,,,,,
modArmorStrengthDesc,item_modifiers,mod,,,,"This AI neural chip, designed for installation in headgear, bypasses myostatin to enhance strength.\n\n+1 Strength",,,"Este chip neuronal de IA, diseñado para instalar en gorros, anula la miostatina para aumentar la fuerza.\n\n+1 de fuerza.",,,,,,,,,,
modArmorTreasureHunter,item_modifiers,mod,,,,Treasure Hunter's Mod,,,Modificación cazador de tesoro,,,,,,,,,,
modArmorTreasureHunterDesc,item_modifiers,mod,,,,This AI-enhanced headgear mod boosts learning speed and improves the user's ability to discover valuable loot and buried treasures.,,,Esta modificación para la cabeza mejorada con IA aumenta la velocidad de aprendizaje y mejora la capacidad del usuario de descubrir botines valiosos y tesoros enterrados.,,,,,,,,,,
modArmorTripleStoragePocket,item_modifiers,mod,,,,Armor Triple Pocket Mod,,,Modificación de bolsillo triple para armadura,,,,,,,,,,
modArmorTripleStoragePocketDesc,item_modifiers,mod,,,,Decrease encumbrance penalty by 3 by installing this modification into your armor.,,,Reduce la penalización de sobrecarga en 3 al instalar esta modificación en la armadura.,,,,,,,,,,
modArmorTripleStoragePocketSchematic,item_modifiers,mod,,,,Armor Triple Pocket Mod Schematic,,,Esquema de modificación de bolsillo triple para armadura,,,,,,,,,,
modArmorWaterPurifier,item_modifiers,mod,,,,Water Purifier Mod,,,Modificación de purificador de agua,,,,,,,,,,
modArmorWaterPurifierDesc,item_modifiers,mod,,,,Allows safe consumption of murky water.,,,Permite el consumo seguro de agua turbia.,,,,,,,,,,
modArmorWaterPurifierSchematic,item_modifiers,mod,,,,Water Purifier Mod Schematic,,,Esquema de modificación de purificador de agua,,,,,,,,,,
modClothingCargoStoragePocket,item_modifiers,mod,,,,Clothing Double Pocket Mod,,,Modificación de bolsillo doble para ropa,,,,,,,,,,
modClothingCargoStoragePocketDesc,item_modifiers,mod,,,,"Decreases encumbrance penalty by 2 by installing this modification into pants, shirts, and overcoats.",,,"Reduce la penalización de sobrecarga en 2 al instalar esta modificación en pantalones, camisas y abrigos.",,,,,,,,,,
modClothingStoragePocket,item_modifiers,mod,,,,Clothing Pocket Mod,,,Modificación de bolsillo para ropa,,,,,,,,,,
modClothingStoragePocketDesc,item_modifiers,mod,,,,"Decreases encumbrance penalty by 1 by installing this modification into pants, shirts, and overcoats.",,,"Reduce la penalización de sobrecarga en 1 al instalar esta modificación en pantalones, camisas y abrigos.",,,,,,,,,,
modDyeBlack,item_modifiers,mod,,,,Dye: Black,,,Tinte: Negro,,,,,,,,,,
modDyeBlue,item_modifiers,mod,,,,Dye: Blue,,,Tinte: Azul,,,,,,,,,,
modDyeBrown,item_modifiers,mod,,,,Dye: Brown,,,Tinte: Marrón,,,,,,,,,,
modDyeGreen,item_modifiers,mod,,,,Dye: Green,,,Tinte: Verde,,,,,,,,,,
modDyeGroupDesc,item_modifiers,mod,,,,Adding a dye mod applies a tint to an item. They are installed into the cosmetic slot of the item's modify window.,,,Al añadir una modificación de tinte se aplica el tinte a un objeto. Se instalan en la ranura cosmética de la ventana de modificación del objeto.,,,,,,,,,,
modDyeOrange,item_modifiers,mod,,,,Dye: Orange,,,Tinte: Naranja,,,,,,,,,,
modDyePink,item_modifiers,mod,,,,Dye: Pink,,,Tinte: Rosa,,,,,,,,,,
modDyePurple,item_modifiers,mod,,,,Dye: Purple,,,Tinte: Lila,,,,,,,,,,
modDyeRed,item_modifiers,mod,,,,Dye: Red,,,Tinte: Rojo,,,,,,,,,,
modDyeWhite,item_modifiers,mod,,,,Dye: Solvent,,,Tinte: Disolvente,,,,,,,,,,
modDyeYellow,item_modifiers,mod,,,,Dye: Yellow,,,Tinte: Amarillo,,,,,,,,,,
modFuelTankLarge,item_modifiers,mod,,,,Motor Tool Large Tank Mod,,,Modificación de herramienta con motor de tanque grande,,,,,,,,,,
modFuelTankLargeDesc,item_modifiers,mod,,,,Greatly increases tank size for chainsaws and augers.,,,Aumenta considerablemente el tamaño del tanque de motosierras y barrenas.,,,,,,,,,,
modFuelTankLargeSchematic,item_modifiers,mod,,,,Motor Tool Large Tank Mod Schematic,,,Esquema de modificación de herramienta con motor de tanque grande,,,,,,,,,,
modFuelTankSmall,item_modifiers,mod,,,,Motor Tool Small Tank Mod,,,Modificación de herramienta con motor de tanque pequeño,,,,,,,,,,
modFuelTankSmallDesc,item_modifiers,mod,,,,Moderately increases tank size for chainsaws and augers.,,,Aumenta moderadamente el tamaño del tanque de motosierras y barrenas.,,,,,,,,,,
modFuelTankSmallSchematic,item_modifiers,mod,,,,Motor Tool Small Tank Mod Schematic,,,Esquema de modificación de herramienta con motor de tanque pequeño,,,,,,,,,,
modGunBarrelExtender,item_modifiers,mod,,,,Barrel Extender Mod,,,Modificación de ampliación de cañón,,,,,,,,,,
modGunBarrelExtenderDesc,item_modifiers,mod,,,,"Increases damage, range, and aimed accuracy, but makes the weapon more unwieldy when fired from the hip.",,,"Aumenta el daño, el alcance y la precisión al apuntar, pero hace que el arma sea más difícil de manejar al disparar desde la cintura.",,,,,,,,,,
modGunBarrelExtenderSchematic,item_modifiers,Mod,,,,Barrel Extender Mod Schematic,,,Esquema de modificación de ampliación de cañón,,,,,,,,,,
modGunBipod,item_modifiers,mod,,,,Bipod Mod,,,Modificación de estabilizador,,,,,,,,,,
modGunBipodDesc,item_modifiers,mod,,,,Increases accuracy and handling when aiming weapons.,,,Aumenta la precisión y manejo al apuntar con las armas.,,,,,,,,,,
modGunBipodSchematic,item_modifiers,Mod,,,,Bipod Mod Schematic,,,Esquema de modificación de estabilizador,,,,,,,,,,
modGunBowArrowRest,item_modifiers,mod,,,,Arrow Rest Mod,,,Modificación de apoyo para flecha,,,,,,,,,,
modGunBowArrowRestDesc,item_modifiers,mod,,,,An arrow rest improves the accuracy of a bow.,,,Un apoyo para flecha mejora la precisión de un arco.,,,,,,,,,,
modGunBowArrowRestSchematic,item_modifiers,Mod,,,,Arrow Rest Mod Schematic,,,Esquema de modificación de apoyo para flecha,,,,,,,,,,
modGunBowPolymerString,item_modifiers,mod,,,,Polymer String Mod,,,Modificación de cadena de polímeros,,,,,,,,,,
modGunBowPolymerStringDesc,item_modifiers,mod,,,,Arrows and Bolts fly quicker and further with this modification.,,,Las flechas y las saetas vuelan más rápido y más lejos con esta modificación.,,,,,,,,,,
modGunBowPolymerStringSchematic,item_modifiers,Mod,,,,Polymer String Mod Schematic,,,Esquema de modificación de cadena de polímeros,,,,,,,,,,
modGunButtkick3000,item_modifiers,mod,,,,Buttkick 3000 Mod,,,Modificación pateador de culos 3000,,,,,,,,,,
modGunButtkick3000Desc,item_modifiers,mod,,,,Fill all item mod slots with this to get an idea of max mod effects.,,,Rellena todas las ranuras de modificación de un objeto con esta modificación para hacerte a la idea de los efectos máximos de una modificación.,,,,,,,,,,
modGunButtkick4000,item_modifiers,mod,,,,Buttkick 4000 Mod - Perks,,,Beneficios: modificación pateador de culos 4000,,,,,,,,,,
modGunButtkick4000Desc,item_modifiers,mod,,,,Maxes out all attributes and perks.,,,Aumenta al máximo todos los atributos y beneficios.,,,,,,,,,,
modGunChoke,item_modifiers,mod,,,,Shotgun Choke Mod,,,Modificación estrangulador de escopeta,,,,,,,,,,
modGunChokeDesc,item_modifiers,mod,,,,Tightens the shotgun's spread.,,,Reduce la propagación de la escopeta.,,,,,,,,,,
modGunChokeSchematic,item_modifiers,Mod,,,,Shotgun Choke Mod Schematic,,,Esquema de modificación de estrangulador de escopeta,,,,,,,,,,
modGunCrippleEm,item_modifiers,mod,,,,Cripple 'Em Mod,,,Modificación mutílalos a todos,,,,,,,,,,
modGunCrippleEmDesc,item_modifiers,mod,,,,Each shot has a chance to cripple a leg on a bipedal target.,,,Cada disparo tiene una probabilidad de mutilarle una pierna a un objetivo bípedo.,,,,,,,,,,
modGunCrippleEmSchematic,item_modifiers,Mod,,,,Cripple 'Em Mod Schematic,,,Esquema de modificación mutílalos a todos,,,,,,,,,,
modGunDrumMagazineExtender,item_modifiers,Mod,,,,Drum Magazine Mod,,,Modificación de tambor de cargador,,,,,,,,,,
modGunDrumMagazineExtenderDesc,item_modifiers,Mod,,,,"This large drum magazine increases the ammo capacity on machine guns, but is a little slower to reload.",,,"Este gran cargador de tambor incrementa la capacidad de munición de las ametralladoras, pero tardan un poco más en recargar.",,,,,,,,,,
modGunDuckbill,item_modifiers,mod,,,,Shotgun Duckbill Mod,,,Modificación estrangulador Duckbill de escopeta,,,,,,,,,,
modGunDuckbillDesc,item_modifiers,mod,,,,Modifies the spread to a horizontal pattern instead of the normal round one.,,,Modifica la propagación para que cree un patrón horizontal en lugar de uno circular.,,,,,,,,,,
modGunDuckbillSchematic,item_modifiers,Mod,,,,Shotgun Duckbill Mod Schematic,,,Esquema modificación estrangulador Duckbill de escopeta,,,,,,,,,,
modGunFlashlight,item_modifiers,mod,,,,Weapon Flashlight Mod,,,Modificación linterna de arma,,,,,,,,,,
modGunFlashlightDesc,item_modifiers,mod,,,,Installs into any firearm or crossbow.\n\nUse the Light Source action ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) to activate. Hold the Light Source action to activate multiple items.,,,Se instala en cualquier arma de fuego o ballesta.\n\nUsa la acción de fuente de luz ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) para activarla. Mantén presionada la acción fuente de luz para activar varios elementos.,,,,,,,,,,
modGunFlashlightSchematic,item_modifiers,Mod,,,,Weapon Flashlight Mod Schematic,,,Esquema de modificación linterna de arma,,,,,,,,,,
modGunForegrip,item_modifiers,mod,,,,Fore Grip Mod,,,Modificación empuñadura frontal,,,,,,,,,,
modGunForegripDesc,item_modifiers,mod,,,,Improves handling and accuracy when firing weapons from the hip or while moving.,,,Mejora el agarre y la precisión al disparar armas desde la cintura o mientras te mueves.,,,,,,,,,,
modGunForegripSchematic,item_modifiers,Mod,,,,Fore Grip Mod Schematic,,,Esquema de modificación empuñadura frontal,,,,,,,,,,
modGunLaserSight,item_modifiers,mod,,,,Laser Sight Mod,,,Modificación mira láser,,,,,,,,,,
modGunLaserSightDesc,item_modifiers,mod,,,,Helps with aiming quickly and increases accuracy when firing from the hip.\nInstalls into any firearm or crossbow.\n\nUse the Light Source action ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) to activate. Hold the Light Source action to activate multiple items.,,,Ayuda a apuntar rápidamente y aumenta la precisión al disparar desde la cintura.\nSe instala en cualquier arma de fuego o ballesta.\n\nUsa la acción de fuente de luz ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) para activarla. Mantén presionada la acción fuente de luz para activar varios elementos.,,,,,,,,,,
modGunLaserSightSchematic,item_modifiers,mod,,,,Laser Sight Mod Schematic,,,Esquema de modificación mira láser,,,,,,,,,,
modGunMagazineExtender,item_modifiers,mod,,,,Magazine Extender Mod,,,Modificación de ampliación de cargador,,,,,,,,,,
modGunMagazineExtenderDesc,item_modifiers,mod,,,,Increases magazine capacity.,,,Aumenta la capacidad del cargador.,,,,,,,,,,
modGunMagazineExtenderSchematic,item_modifiers,Mod,,,,Magazine Extender Mod Schematic,,,Esquema de modificación de ampliación de cargador,,,,,,,,,,
modGunMeleeFlammableOil,item_modifiers,Mod,,,,Flammable Oil Mod,,,Modificación combustible inflamable,,,,,,,,,,
modGunMeleeFlammableOilDesc,item_modifiers,Mod,,,,Can set enemies on fire.,,,Puede prender a los enemigos en llamas.,,,,,,,,,,
modGunMeleeFlammableOilSchematic,item_modifiers,Mod,,,,Flammable Oil Mod Schematic,,,Esquema de modificación combustible inflamable,,,,,,,,,,
modGunMeleeLiquidNitrogen,item_modifiers,Mod,,,,Liquid Nitrogen Mod,,,Modificación nitrógeno líquido,,,,,,,,,,
modGunMeleeLiquidNitrogenDesc,item_modifiers,Mod,,,,Briefly freezes enemies.,,,Congela brevemente a los enemigos.,,,,,,,,,,
modGunMeleeLiquidNitrogenSchematic,item_modifiers,Mod,,,,Liquid Nitrogen Mod Schematic,,,Esquema de modificación nitrógeno líquido,,,,,,,,,,
modGunMeleeNiCdBattery,item_modifiers,Mod,,,,NiCd Battery Mod,,,Modificación batería de níquel-cadmio,,,,,,,,,,
modGunMeleeNiCdBatteryDesc,item_modifiers,Mod,,,,A shocking addition to weapons.,,,Una electrificante incorporación a las armas.,,,,,,,,,,
modGunMeleeNiCdBatterySchematic,item_modifiers,Mod,,,,NiCd Battery Mod Schematic,,,Esquema de modificación batería de níquel-cadmio,,,,,,,,,,
modGunMeleeRadRemover,item_modifiers,mod,,,,Rad Remover Mod,,,Modificación eliminación de irradiados,,,,,,,,,,
modGunMeleeRadRemoverDesc,item_modifiers,mod,,,,"Temporarily disables the regeneration ability of Radiated, Charged, and Infernal zombies.",,,"Desactiva temporalmente la habilidad de regeneración de zombis irradiados, cargados e infernales.",,,,,,,,,,
modGunMeleeRadRemoverSchematic,item_modifiers,Mod,,,,Rad Remover Mod Schematic,,,Esquema de modificación eliminación de irradiados,,,,,,,,,,
modGunMeleeTheHunter,item_modifiers,mod,,,,The Hunter Mod,,,Modificación cazador,,,,,,,,,,
modGunMeleeTheHunterDesc,item_modifiers,mod,,,,Do more damage to all animals.,,,Inflige más daño a todos los animales.,,,,,,,,,,
modGunMeleeTheHunterSchematic,item_modifiers,Mod,,,,The Hunter Mod Schematic,,,Esquema de modificación cazador,,,,,,,,,,
modGunMuzzleBrake,item_modifiers,mod,,,,Muzzle Brake Mod,,,Modificación freno de mordaza,,,,,,,,,,
modGunMuzzleBrakeDesc,item_modifiers,mod,,,,Diverts the propellant gases to reduce recoil.,,,Desvía los gases propulsores para reducir el retroceso.,,,,,,,,,,
modGunMuzzleBrakeSchematic,item_modifiers,Mod,,,,Muzzle Brake Mod Schematic,,,Esquema de modificación freno de mordaza,,,,,,,,,,
modGunReflexSight,item_modifiers,mod,,,,Reflex Sight Mod,,,Modificación mira holográfica,,,,,,,,,,
modGunReflexSightDesc,item_modifiers,mod,,,,This sight is designed for fast target acquisition and improves weapon handling.,,,Esta mira fue diseñada para el reconocimiento rápido del objetivo y para mejorar el manejo del arma.,,,,,,,,,,
modGunReflexSightSchematic,item_modifiers,Mod,,,,Reflex Sight Mod Schematic,,,Esquema de modificación mira holográfica,,,,,,,,,,
modGunRetractingStock,item_modifiers,mod,,,,Retracting Stock Mod,,,Modificación culata retráctil,,,,,,,,,,
modGunRetractingStockDesc,item_modifiers,mod,,,,Improves weapon handling while moving or firing from the hip because the weapon becomes more manageable in close quarters.,,,Mejora el manejo del arma mientras te mueves o disparas desde la cintura porque el arma se maneja mejor en espacios cerrados.,,,,,,,,,,
modGunRetractingStockSchematic,item_modifiers,Mod,,,,Retracting Stock Mod Schematic,,,Esquema de modificación culata retráctil,,,,,,,,,,
modGunScopeLarge,item_modifiers,mod,,,,Scope 8x Mod,,,Modificación mira x8,,,,,,,,,,
modGunScopeLargeDesc,item_modifiers,mod,,,,Increases visual magnification when aiming.\nInstalls into long rifles.,,,Aumenta la ampliación visual al apuntar.\nSe instala en rifles largos.,,,,,,,,,,
modGunScopeLargeSchematic,item_modifiers,Mod,,,,Scope 8x Mod Schematic,,,Esquema de modificación mira x8,,,,,,,,,,
modGunScopeMedium,item_modifiers,mod,,,,Scope 4x Mod,,,Modificación mira x4,,,,,,,,,,
modGunScopeMediumDesc,item_modifiers,mod,,,,Increases visual magnification when aiming.\nInstalls into medium sized firearms and crossbows.,,,Aumenta la ampliación visual al apuntar.\nSe instala en armas de fuego y ballestas de tamaño medio.,,,,,,,,,,
modGunScopeMediumSchematic,item_modifiers,Mod,,,,Scope 4x Mod Schematic,,,Esquema de modificación mira x4,,,,,,,,,,
